cik,acc_nodash,date_filed,filing_year,auditor_out,auditor_in,out_big4,in_big4,quality_direction,reason,disagreements
318300,000031830001000006,2001-01-22,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1084155,000105652001500008,2001-01-23,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1096299,000093173101000021,2001-01-23,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1028361,000103221001000075,2001-01-23,2001,Ernst & Young,Arthur Andersen,True,True,Big4_to_Big4,resignation,True
778808,000093176301000075,2001-01-24,2001,,BDO,,False,nonBig4_to_nonBig4,unclassified,True
1002455,000101489701000007,2001-01-24,2001,,,,,nonBig4_to_nonBig4,unclassified,False
225211,000022521101000001,2001-01-24,2001,,,,,nonBig4_to_nonBig4,unclassified,False
57201,000005720101000003,2001-01-24,2001,Arthur Andersen,,True,,Big4_to_nonBig4,resignation,True
1072988,000107298801000004,2001-01-24,2001,,,,,nonBig4_to_nonBig4,unclassified,True
1125131,000095016801000111,2001-01-24,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1130764,000095016801000110,2001-01-24,2001,,,,,nonBig4_to_nonBig4,unclassified,False
874482,000087448201500005,2001-01-24,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1084133,000108671501000015,2001-01-25,2001,,,,,nonBig4_to_nonBig4,unclassified,False
907069,000102670001500021,2001-01-25,2001,,,,,nonBig4_to_nonBig4,resignation,True
1084047,000108671501000014,2001-01-25,2001,,,,,nonBig4_to_nonBig4,unclassified,False
822618,000095014801000102,2001-01-26,2001,,Arthur Andersen,,True,nonBig4_to_Big4,dismissal,True
1017531,000106823801000032,2001-01-26,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1096299,000093173101000023,2001-01-26,2001,,,,,nonBig4_to_nonBig4,unclassified,False
910111,000092242301000076,2001-01-26,2001,,Deloitte,,True,nonBig4_to_Big4,dismissal,True
778808,000093176301000080,2001-01-26,2001,,Grant Thornton,,False,nonBig4_to_nonBig4,unclassified,False
1021097,000091205701003005,2001-01-26,2001,,Arthur Andersen,,True,nonBig4_to_Big4,dismissal,True
1094744,000104596901000053,2001-01-26,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1007797,000106823801000033,2001-01-26,2001,,,,,nonBig4_to_nonBig4,unclassified,False
885195,000095014401001540,2001-01-26,2001,,,,,nonBig4_to_nonBig4,dismissal,True
913958,000091664101000084,2001-01-26,2001,McGladrey,McGladrey,False,False,nonBig4_to_nonBig4,dismissal,True
890175,000104596901000053,2001-01-26,2001,,,,,nonBig4_to_nonBig4,unclassified,False
949113,000101968701000097,2001-01-29,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1083941,000091205701003203,2001-01-29,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1094744,000104596901000055,2001-01-29,2001,,,,,nonBig4_to_nonBig4,unclassified,False
890175,000104596901000055,2001-01-29,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1059413,000108127101000002,2001-01-30,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1130827,000113346301000001,2001-01-30,2001,,,,,nonBig4_to_nonBig4,unclassified,False
717588,000110889001000032,2001-01-30,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1130827,000113346301000002,2001-01-30,2001,,,,,nonBig4_to_nonBig4,unclassified,False
894566,000091205701003472,2001-01-30,2001,,Marcum,,False,nonBig4_to_nonBig4,dismissal,True
930481,000101287001000320,2001-01-30,2001,PricewaterhouseCoopers,,True,,Big4_to_nonBig4,resignation,True
1077800,000101211801000006,2001-01-31,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1024015,000091205701003644,2001-01-31,2001,,,,,nonBig4_to_nonBig4,dismissal,True
1094744,000104596901000079,2001-01-31,2001,,,,,nonBig4_to_nonBig4,unclassified,False
890175,000104596901000079,2001-01-31,2001,,,,,nonBig4_to_nonBig4,unclassified,False
949113,000101968701000103,2001-01-31,2001,,,,,nonBig4_to_nonBig4,unclassified,False
1075736,000102048801000013,2001-01-31,2001,,KPMG,,True,nonBig4_to_Big4,dismissal,False
